COUNTYNS,ST,COUNTY,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ID_00069169,AR,Nevada,,,,0%,,0%,,0%,,33%,,,100%,,,0%,
ID_00069170,AR,Ouachita,0%,,0%,0%,50%,100%,100%,50%,67%,0%,0%,67%,100%,67%,,75%,100%
ID_00069171,AR,Perry,,,,,,,,,,,,0%,,0%,,,0%
ID_00069172,AR,Phillips,,83%,86%,100%,100%,33%,,0%,50%,0%,100%,100%,100%,,100%,100%,100%
ID_00069173,AR,Pike,,,100%,100%,,0%,,,,,0%,,,,100%,,
ID_00069174,AR,Poinsett,100%,,,,100%,0%,,50%,50%,,100%,,,,100%,100%,100%
ID_00069175,AR,Polk,,,,,100%,,,33%,,,100%,,,,100%,100%,100%
ID_00069176,AR,Prairie,,,,,0%,,,0%,,,,,100%,,,,100%
ID_00069177,AR,Pulaski,56%,60%,61%,39%,51%,38%,55%,33%,81%,78%,73%,70%,72%,74%,41%,57%,61%
ID_00069178,AR,Randolph,,100%,75%,,,,,100%,,,,,,,,,0%
ID_00069179,AR,Scott,,100%,100%,,,,,100%,100%,,,,,100%,100%,,100%
ID_00069180,AR,Searcy,,,,100%,0%,,,,,,,,,,,,
ID_00069181,AR,Sebastian,75%,83%,100%,100%,100%,80%,71%,100%,100%,83%,73%,50%,100%,100%,38%,56%,50%
ID_00069182,AR,Sevier,50%,,,,,100%,,,0%,,75%,,100%,,100%,,100%
ID_00069183,AR,Sharp,,,,0%,,,,100%,,,33%,,,,,,
ID_00069895,AR,Baxter,,67%,,100%,67%,100%,50%,0%,100%,100%,33%,,,,,100%,200%
ID_00069896,AR,Benton,175%,67%,0%,100%,67%,50%,100%,100%,25%,0%,50%,100%,100%,100%,100%,100%,40%
ID_00069897,AR,Boone,100%,50%,25%,100%,200%,50%,0%,100%,,100%,100%,33%,,,150%,100%,
ID_00069898,AR,Marion,,,,0%,,,,,,,,,,,,,
ID_00069899,AR,Mississippi,77%,111%,0%,33%,63%,50%,55%,86%,80%,100%,67%,100%,100%,67%,100%,67%,114%
ID_00069900,AR,Newton,0%,,,,,,100%,100%,100%,,,,,,,,
ID_00069901,AR,Pope,67%,67%,50%,,100%,,,100%,,100%,0%,0%,100%,,,,100%
ID_00069902,AR,Stone,,,,,,,,100%,,,,,,,,200%,200%
ID_00069903,AR,Union,40%,100%,,100%,100%,100%,100%,50%,33%,67%,80%,71%,67%,100%,100%,50%,75%
ID_00069904,AR,Van Buren,100%,,,0%,0%,,,,,,,100%,100%,,,100%,
ID_00069905,AR,Washington,100%,86%,100%,90%,43%,100%,100%,100%,100%,100%,100%,71%,89%,100%,0%,,75%
ID_00069906,AR,White,0%,67%,60%,0%,0%,25%,100%,71%,33%,50%,50%,0%,33%,0%,50%,50%,
ID_00069907,AR,Woodruff,,,,,,,,,,,100%,,,,,0%,
ID_00069908,AR,Yell,100%,,100%,,100%,,,100%,0%,,,100%,,0%,,,100%
ID_00082850,AR,Logan,50%,0%,,0%,,,,,50%,,,0%,0%,,,0%,
ID_00083331,AR,St. Francis,100%,,,75%,100%,0%,67%,75%,,100%,0%,100%,100%,67%,467%,44%,120%
ID_00161526,AL,Autauga,100%,100%,0%,100%,100%,100%,,,33%,100%,100%,,,100%,,67%,50%
ID_00161527,AL,Baldwin,100%,67%,75%,100%,88%,100%,33%,100%,140%,40%,100%,100%,100%,400%,67%,50%,100%
ID_00161528,AL,Barbour,33%,67%,33%,0%,,,0%,,,,,,100%,100%,100%,80%,
ID_00161529,AL,Bibb,,50%,92%,100%,50%,0%,0%,0%,,,,,,,,,
ID_00161530,AL,Blount,100%,67%,,,100%,67%,,,,0%,,,100%,100%,,,100%
ID_00161531,AL,Bullock,0%,0%,,0%,,,,0%,,,,,,,,100%,
ID_00161532,AL,Butler,60%,67%,50%,100%,83%,100%,100%,,0%,0%,,100%,0%,100%,0%,100%,
ID_00161533,AL,Calhoun,100%,80%,86%,100%,100%,67%,63%,33%,71%,70%,72%,60%,88%,50%,27%,60%,75%
ID_00161534,AL,Chambers,0%,100%,100%,67%,100%,100%,,,150%,,100%,100%,,,100%,,75%
ID_00161535,AL,Cherokee,100%,100%,67%,0%,100%,50%,100%,,,,,,,,,0%,
ID_00161536,AL,Chilton,,0%,100%,100%,,100%,,,,100%,50%,,100%,100%,,0%,
ID_00161537,AL,Choctaw,,,,,100%,100%,,,,,,,,,,,
ID_00161538,AL,Clarke,67%,100%,,,,100%,50%,100%,,100%,,,,100%,100%,100%,
ID_00161539,AL,Clay,,,,,,,,,,,,,100%,,,0%,
ID_00161540,AL,Cleburne,,,,,,,,100%,0%,,,0%,,100%,0%,50%,
ID_00161541,AL,Coffee,100%,50%,,50%,50%,0%,80%,100%,0%,100%,,100%,100%,100%,0%,100%,
ID_00161542,AL,Colbert,100%,0%,50%,50%,50%,50%,,,100%,0%,,100%,100%,100%,100%,50%,100%
ID_00161543,AL,Conecuh,,,0%,100%,100%,0%,,0%,0%,,0%,,,,0%,0%,50%
ID_00161544,AL,Coosa,,100%,,,,,,100%,,0%,0%,,,0%,,100%,100%
ID_00161545,AL,Covington,100%,100%,,100%,100%,100%,100%,14%,50%,100%,100%,,100%,,100%,100%,
ID_00161546,AL,Crenshaw,0%,,100%,0%,100%,50%,,,100%,,,,50%,,,,100%
ID_00161547,AL,Cullman,100%,,50%,40%,50%,100%,67%,67%,100%,0%,50%,50%,0%,0%,100%,50%,
ID_00161548,AL,Dale,0%,0%,50%,100%,100%,100%,100%,80%,,0%,,100%,100%,,,100%,40%
ID_00161549,AL,Dallas,44%,33%,60%,60%,89%,100%,25%,60%,100%,75%,100%,,67%,100%,50%,,100%
ID_00161551,AL,Elmore,88%,80%,0%,0%,100%,100%,100%,83%,0%,,100%,50%,50%,50%,100%,50%,50%
ID_00161552,AL,Escambia,67%,100%,,0%,33%,100%,0%,0%,100%,100%,0%,50%,0%,133%,,33%,0%
ID_00161553,AL,Etowah,17%,0%,67%,63%,100%,20%,57%,100%,50%,33%,0%,0%,100%,67%,60%,,50%
ID_00161554,AL,Fayette,,,,,100%,,,,0%,,,,,100%,,,100%
ID_00161555,AL,Franklin,0%,100%,,0%,,50%,100%,100%,100%,,0%,0%,,100%,,50%,
ID_00161556,AL,Geneva,100%,100%,0%,50%,,,100%,,,100%,,100%,,50%,0%,,100%
ID_00161557,AL,Greene,,,0%,0%,,100%,,100%,,,,,0%,100%,100%,100%,
ID_00161558,AL,Hale,,,,,,,,50%,100%,100%,,100%,,,,,
ID_00161559,AL,Henry,,,,0%,25%,50%,50%,100%,0%,,,,100%,33%,,0%,50%
ID_00161560,AL,Houston,100%,50%,100%,100%,86%,100%,0%,100%,67%,55%,100%,63%,80%,60%,0%,100%,100%
ID_00161561,AL,Jackson,,0%,33%,100%,,100%,,0%,100%,50%,60%,67%,100%,67%,25%,43%,100%
ID_00161562,AL,Jefferson,60%,50%,65%,65%,12%,27%,36%,14%,67%,13%,10%,8%,14%,9%,14%,13%,7%
ID_00161564,AL,Lauderdale,67%,0%,100%,67%,33%,100%,100%,100%,75%,,,80%,100%,100%,100%,33%,100%
