COUNTYNS,ST,COUNTY,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ID_00465279,IA,Warren,100%,,,,,,100%,,,100%,0%,,100%,100%,,,
ID_00465280,IA,Washington,,,,,,50%,200%,0%,,,,,,100%,,,
ID_00465282,IA,Webster,0%,0%,100%,50%,,100%,,67%,0%,,,100%,50%,,,0%,
ID_00465284,IA,Winneshiek,100%,,,,,,,,,,,,,,,,
ID_00465285,IA,Woodbury,100%,67%,100%,0%,33%,0%,,67%,0%,50%,0%,0%,100%,100%,33%,100%,100%
ID_00465286,IA,Worth,,,100%,100%,,,,,,,,,,,,,
ID_00465287,IA,Wright,,,,,,,100%,,,,,,,,,,0%
ID_00465625,IA,Clay,,,,,100%,100%,,,,,,,,100%,,,
ID_00481811,KS,Graham,,,,,,,,,,,,,,0%,,,
ID_00481812,KS,Sumner,,,100%,0%,,50%,,,0%,,,50%,,100%,,,
ID_00484969,KS,Smith,,,,,,,,,,,100%,0%,,,,,
ID_00484970,KS,Allen,,,,,,,0%,,,,100%,100%,,,,,
ID_00484971,KS,Anderson,,,,,,,,,,,,0%,,,,,100%
ID_00484972,KS,Atchison,,100%,,,,100%,,,,,100%,,,,,,100%
ID_00484973,KS,Barber,,,,,,,,,,,,,100%,,,,
ID_00484974,KS,Barton,,67%,,100%,100%,0%,100%,,100%,100%,,,100%,33%,,,
ID_00484975,KS,Bourbon,,,,100%,,50%,,0%,,,,,0%,100%,100%,100%,
ID_00484976,KS,Brown,,,,100%,100%,,,,,,,0%,,,100%,,
ID_00484977,KS,Butler,100%,,100%,100%,,50%,100%,100%,0%,0%,0%,,0%,100%,100%,,
ID_00484979,KS,Chautauqua,,,,,,,,,,,,0%,100%,,,100%,
ID_00484980,KS,Cherokee,,0%,,0%,100%,,,,,0%,0%,,,100%,,50%,100%
ID_00484981,KS,Cheyenne,,,,0%,,,,,,,,,,,,,
ID_00484983,KS,Clay,,,,,,,,,,,100%,,100%,,,,
ID_00484984,KS,Cloud,,,,,,,100%,100%,,,,,100%,,,,
ID_00484985,KS,Coffey,,,,,,,,,,100%,,,100%,,,,
ID_00484986,KS,Comanche,,100%,,,,,100%,,,,,,,,,,
ID_00484987,KS,Cowley,,33%,100%,,,100%,,0%,,0%,,33%,0%,,,0%,
ID_00484988,KS,Crawford,50%,100%,50%,200%,0%,100%,33%,100%,100%,100%,100%,,,75%,100%,100%,80%
ID_00484989,KS,Decatur,,,,,,0%,,,,,,,,,,,
ID_00484990,KS,Dickinson,100%,,,,,,100%,,,100%,,,100%,100%,,,
ID_00484991,KS,Doniphan,,,,,,,,,,0%,,,0%,,,,
ID_00484992,KS,Douglas,,,0%,33%,,,,,75%,0%,60%,0%,50%,50%,0%,,
ID_00484993,KS,Edwards,,,,,,,,,,,,,,,,,0%
ID_00484995,KS,Ellis,100%,100%,0%,0%,,,,,,0%,,100%,50%,100%,,,
ID_00484996,KS,Ellsworth,,,,,,,,,0%,,,,,,,,
ID_00484997,KS,Ford,,50%,33%,100%,100%,100%,0%,20%,33%,50%,0%,0%,0%,0%,33%,67%,20%
ID_00484998,KS,Franklin,,,,100%,,,100%,0%,,,0%,,,,,100%,100%
ID_00484999,KS,Geary,100%,100%,0%,33%,100%,100%,75%,,,100%,100%,0%,,100%,,0%,0%
ID_00485000,KS,Gove,,,,,100%,,,,,,,,,,,,
ID_00485003,KS,Greenwood,0%,,,100%,100%,,,,,,,0%,,,,,
ID_00485004,KS,Harper,,,,,,,,,,,,,,100%,,,
ID_00485005,KS,Harvey,50%,,,,,100%,0%,,0%,,,,,,,67%,
ID_00485007,KS,Jackson,300%,25%,,100%,,,,,,,,,,,,100%,100%
ID_00485008,KS,Jefferson,0%,,,,,,,100%,,,,,,,,,100%
ID_00485010,KS,Johnson,83%,75%,78%,57%,63%,90%,67%,60%,43%,100%,0%,50%,80%,,33%,50%,67%
ID_00485011,KS,Kearny,,,,,,,,,,,,,,,,0%,
ID_00485012,KS,Kingman,,,100%,,,0%,,,,,,,,,,,
ID_00485013,KS,Kiowa,,,,,,,,100%,,,0%,,,,,100%,
ID_00485014,KS,Labette,0%,50%,,100%,,100%,,,,,,,0%,,,100%,
ID_00485015,KS,Lane,,,,,100%,,,,,,,,,,,,
ID_00485016,KS,Leavenworth,33%,,50%,100%,,33%,100%,0%,67%,100%,67%,,100%,100%,100%,0%,100%
ID_00485017,KS,Lincoln,,,,,,,,,,,,,,,,100%,
ID_00485018,KS,Linn,,,,,,,,,0%,,,,,,,,
ID_00485020,KS,Lyon,,,,0%,,,,100%,100%,,0%,0%,50%,100%,33%,33%,50%
ID_00485021,KS,McPherson,,,100%,,100%,100%,,100%,,0%,,,,,,,
ID_00485023,KS,Marshall,,,,,,100%,,,,,,,,,,,
ID_00485025,KS,Miami,100%,50%,,,,,,,0%,,100%,0%,,,,,
ID_00485026,KS,Mitchell,,,,,,,,0%,100%,,,,,0%,,,100%
ID_00485027,KS,Montgomery,100%,50%,,,100%,,,67%,50%,100%,67%,0%,0%,75%,100%,,
ID_00485029,KS,Nemaha,,,,,,,,,,,100%,,,,,,
ID_00485030,KS,Neosho,0%,,0%,0%,,,100%,0%,,,,,,100%,,,
ID_00485032,KS,Norton,,0%,,,,,,,,,,,,100%,,,
ID_00485033,KS,Osage,,,,,,0%,,100%,,,100%,0%,100%,,0%,,
ID_00485034,KS,Osborne,,,,,,,,,0%,,,,,,,,
ID_00485036,KS,Pawnee,,,,,,,,,,0%,,,,,,,
ID_00485038,KS,Pottawatomie,,,50%,,,,,,100%,,0%,,,,,,
ID_00485039,KS,Pratt,,,,0%,,,,,100%,,,,,,,,
ID_00485041,KS,Reno,100%,100%,,100%,100%,100%,50%,,50%,100%,50%,100%,,0%,,0%,0%
ID_00485042,KS,Republic,,,,,,,,,,,,,,,,,100%
ID_00485043,KS,Rice,,,,,,,,0%,,,100%,,,,,,
ID_00485044,KS,Riley,100%,100%,200%,80%,100%,60%,150%,75%,133%,0%,,,100%,0%,100%,50%,
ID_00485045,KS,Rooks,,100%,,,100%,,,,,,,,,,,,
ID_00485046,KS,Russell,,,,,,,,,,100%,,,33%,,,100%,
ID_00485047,KS,Saline,67%,50%,100%,100%,100%,25%,100%,50%,60%,,100%,,100%,100%,,100%,
ID_00485048,KS,Scott,,,,,,,100%,,,,,,100%,,,,
ID_00485049,KS,Sedgwick,71%,70%,77%,67%,96%,69%,88%,77%,73%,60%,54%,54%,48%,48%,0%,0%,0%
ID_00485050,KS,Seward,100%,100%,100%,0%,,100%,100%,,100%,0%,,50%,100%,,,100%,100%
ID_00485051,KS,Shawnee,54%,77%,67%,46%,11%,0%,0%,42%,18%,15%,17%,60%,0%,11%,0%,8%,17%
ID_00485053,KS,Sherman,,,,,,,,,,,,,100%,100%,,,
ID_00485054,KS,Stafford,100%,,,,,,,,,,,,,,,,
ID_00485055,KS,Stanton,,,,,,,,,,,100%,0%,,,,,
ID_00485057,KS,Thomas,,,,100%,,,,,,,,,,,,,
ID_00485058,KS,Trego,,,,,,100%,,,,,,,,,,,
ID_00485059,KS,Wabaunsee,,,,,,,,0%,,,,,,,,,
ID_00485061,KS,Washington,,,,,,,,,,,,,,,0%,,
ID_00485062,KS,Wichita,,,,,,,100%,,,,,,,,,100%,100%
ID_00485063,KS,Wilson,,100%,,,,,100%,,,,,,,33%,,,100%
ID_00485064,KS,Woodson,,,,,,,,,,,,,,,100%,,
ID_00485065,KS,Wyandotte,,82%,56%,52%,44%,70%,72%,56%,54%,75%,0%,63%,3%,,,,
ID_00485099,KS,Grant,100%,100%,,,,,,,0%,,,,,,,,
ID_00485135,KS,Morton,,,,,,,,,,,,,0%,,,,
ID_00485326,KS,Finney,100%,,50%,0%,,0%,,100%,100%,100%,100%,100%,100%,,50%,,50%
ID_00485327,KS,Hamilton,,,,,,100%,0%,,,,,,,,0%,,100%
ID_00485328,KS,Haskell,,,0%,,,,,,,,,,,,,,
ID_00516847,KY,Adair,111%,100%,50%,86%,113%,83%,117%,71%,,,,,,,,,
ID_00516848,KY,Allen,100%,100%,,,,,,,100%,,,,100%,,,,
ID_00516850,KY,Ballard,,,,,,,,,,,,100%,,,,,
ID_00516851,KY,Barren,,100%,,,,,,,0%,50%,,,,,,,
ID_00516853,KY,Bell,0%,,100%,,,,100%,,,,,,100%,,,,
ID_00516854,KY,Boone,100%,100%,,,100%,50%,100%,0%,100%,200%,,200%,0%,100%,,,33%
ID_00516855,KY,Bourbon,,100%,,,100%,,,100%,,0%,,,,,,,
ID_00516856,KY,Boyd,125%,75%,100%,50%,,,300%,33%,,,100%,50%,,,,100%,
ID_00516857,KY,Boyle,,,,0%,100%,,100%,,,,,,,,,,
ID_00516860,KY,Breckinridge,100%,,,,,0%,100%,,,,,,,,,,
ID_00516861,KY,Bullitt,0%,50%,50%,,,,100%,,100%,100%,,,0%,,,,
ID_00516863,KY,Caldwell,,,,,,,200%,0%,100%,,100%,,,,,,
ID_00516864,KY,Calloway,200%,0%,,,50%,,0%,100%,0%,,,,100%,,,,
ID_00516865,KY,Campbell,,,0%,100%,50%,33%,50%,100%,50%,100%,100%,67%,100%,,100%,100%,100%
ID_00516867,KY,Carroll,,,,,0%,,,,100%,100%,,,,,,,
ID_00516870,KY,Christian,100%,100%,67%,33%,60%,50%,40%,33%,0%,50%,80%,100%,50%,100%,100%,100%,
ID_00516871,KY,Clark,100%,0%,100%,100%,100%,100%,100%,,67%,0%,,,,,,,
ID_00516872,KY,Clay,100%,50%,,,,,,,,100%,,,,,,,
ID_00516873,KY,Clinton,100%,,,,,,,,,,,,,,,,
ID_00516876,KY,Daviess,100%,,,,,100%,50%,100%,0%,100%,0%,60%,100%,100%,100%,0%,
ID_00516880,KY,Fayette,58%,113%,60%,100%,92%,86%,67%,92%,92%,88%,133%,93%,104%,72%,106%,54%,73%
ID_00516882,KY,Floyd,,,,,,100%,,,,,,,,,,,
ID_00516883,KY,Franklin,80%,25%,100%,150%,80%,0%,57%,100%,53%,54%,55%,67%,60%,,,,
ID_00516884,KY,Fulton,,,,,,,,,,0%,100%,,,,,,
ID_00516887,KY,Grant,100%,0%,100%,,,100%,,100%,,,,100%,,,,,
ID_00516888,KY,Graves,67%,100%,50%,300%,83%,67%,,200%,100%,,,,100%,,,,
ID_00516891,KY,Greenup,,,,50%,,0%,100%,,,100%,,,,,,,
ID_00516893,KY,Hardin,40%,75%,60%,71%,80%,100%,75%,75%,0%,67%,,,50%,,,,50%
ID_00516894,KY,Harlan,100%,67%,100%,50%,100%,50%,0%,100%,,,,,,,,,
ID_00516895,KY,Harrison,,,,,,,,,100%,,,,,,,,
ID_00516897,KY,Henderson,67%,50%,100%,,100%,0%,100%,200%,86%,67%,75%,,,,,,
ID_00516898,KY,Henry,,100%,100%,100%,100%,,100%,300%,100%,,,,100%,,,,
ID_00516899,KY,Hickman,,,,,,,,,,,,0%,,,,,
ID_00516900,KY,Hopkins,100%,25%,60%,67%,71%,100%,0%,100%,,,,,0%,50%,,,
ID_00516902,KY,Jefferson,54%,55%,79%,59%,63%,66%,68%,79%,58%,52%,46%,39%,42%,50%,60%,58%,46%
ID_00516903,KY,Jessamine,,100%,,50%,0%,,,,,,100%,,,,,,
ID_00516904,KY,Johnson,,,,,0%,,100%,,,,,,,,,,
ID_00516905,KY,Kenton,50%,67%,100%,20%,0%,0%,0%,150%,33%,0%,0%,100%,100%,,,,
ID_00516907,KY,Knox,,100%,0%,,,100%,,,,,,,,,,,
ID_00516908,KY,Larue,,,,,,,,,,,,0%,,,,,
ID_00516909,KY,Laurel,100%,43%,83%,133%,63%,67%,80%,83%,100%,75%,,100%,100%,,,,
ID_00516910,KY,Lawrence,,,,0%,,,,,,,,,,,,,
ID_00516912,KY,Leslie,,,100%,,,,,,,,,,,,,,
ID_00516913,KY,Letcher,,,,,100%,,,,,,0%,,,,,,
ID_00516914,KY,Lewis,,,100%,100%,,0%,,,,,,,0%,,,,
ID_00516915,KY,Lincoln,,,,,100%,,,0%,,,,,,,,,
ID_00516917,KY,Logan,0%,50%,0%,0%,100%,,,100%,,,0%,100%,,,100%,,
ID_00516919,KY,Madison,75%,85%,40%,100%,33%,80%,73%,86%,0%,100%,100%,,,0%,,,100%
ID_00516920,KY,Magoffin,,,,100%,100%,,,,,,,,,,,,
ID_00516921,KY,Marion,,,,,,,0%,0%,,,,,,,,,
ID_00516922,KY,Marshall,,100%,,100%,,100%,,,,,100%,100%,100%,100%,,,
ID_00516924,KY,Mason,,,,,,,,,,100%,,,,,,,
ID_00516925,KY,McCracken,50%,100%,100%,,100%,75%,0%,75%,,100%,33%,,100%,80%,100%,0%,33%
ID_00516926,KY,McCreary,,0%,,,,,0%,0%,,,,,,,,,
ID_00516928,KY,Meade,,,,,,,,,,0%,,,,,,,
ID_00516930,KY,Mercer,,,,,,200%,50%,100%,,,100%,100%,,,,,
ID_00516931,KY,Metcalfe,,0%,,,,,,,,,,,,,,,
ID_00516933,KY,Montgomery,,,,100%,,0%,,100%,100%,100%,,,,,,,
ID_00516935,KY,Muhlenberg,100%,,,,,,100%,,,100%,,,,,,,
ID_00516936,KY,Nelson,0%,100%,,50%,,,100%,50%,,33%,,,0%,,,,
ID_00516937,KY,Nicholas,,,,,,100%,,,,,,,,,,,
ID_00516938,KY,Ohio,,,,,100%,,100%,,0%,,,,,,,,
ID_00516939,KY,Oldham,,0%,50%,100%,,,,0%,,0%,0%,,0%,,,,
ID_00516943,KY,Perry,67%,200%,67%,50%,33%,133%,50%,89%,,,,100%,100%,,,,
ID_00516944,KY,Pike,133%,50%,75%,100%,75%,67%,40%,100%,,,,,,,,,
ID_00516946,KY,Pulaski,,67%,200%,0%,100%,100%,100%,0%,0%,0%,0%,0%,,,,,
ID_00516948,KY,Rockcastle,,,,,,100%,,,,,,,,,,,
ID_00516949,KY,Rowan,75%,75%,50%,80%,71%,25%,71%,40%,,,,,,,,,
ID_00516951,KY,Scott,,0%,,0%,,,0%,,,0%,,,,,,,
ID_00516952,KY,Shelby,,100%,,,100%,,,100%,,,,,,,,,
ID_00516953,KY,Simpson,,,100%,100%,100%,,,,100%,100%,100%,,,,,,
ID_00516954,KY,Spencer,,,,,,,,100%,,100%,,,,,,,
ID_00516955,KY,Taylor,100%,100%,100%,300%,33%,100%,,,50%,,,,0%,,,,
ID_00516959,KY,Union,0%,,,,,,100%,,,,,,,,,,
ID_00516960,KY,Warren,60%,133%,50%,200%,33%,56%,100%,75%,500%,100%,60%,133%,0%,0%,200%,100%,0%
ID_00516962,KY,Wayne,,,,,100%,100%,,,,,,50%,,,,,
ID_00516964,KY,Whitley,,0%,,0%,100%,,100%,100%,,,,,0%,,,,
ID_00516966,KY,Woodford,,100%,100%,,,100%,,,0%,,,,,,,,
ID_00558027,LA,Jefferson,81%,59%,53%,30%,51%,55%,50%,48%,65%,62%,48%,58%,60%,75%,67%,74%,76%
ID_00558039,LA,Jefferson Davis,100%,,,0%,,25%,0%,0%,33%,50%,100%,40%,67%,,0%,100%,100%
ID_00558059,LA,Lafayette,70%,42%,50%,92%,59%,70%,72%,100%,77%,73%,82%,23%,71%,78%,40%,75%,0%
ID_00558065,LA,Lafourche,78%,0%,0%,100%,0%,50%,0%,100%,100%,100%,67%,100%,50%,100%,50%,100%,100%
ID_00558077,LA,Lincoln,100%,100%,100%,100%,100%,,,50%,0%,80%,100%,,50%,60%,0%,67%,0%
ID_00558083,LA,Livingston,0%,133%,57%,75%,200%,100%,67%,83%,80%,100%,100%,100%,150%,100%,80%,33%,100%
ID_00558088,LA,Madison,100%,100%,100%,0%,,50%,50%,0%,,50%,100%,,,67%,,,0%
ID_00558097,LA,Morehouse,50%,100%,67%,100%,,100%,,0%,100%,71%,100%,,0%,100%,,,100%
ID_00558108,LA,Natchitoches,100%,33%,100%,100%,100%,100%,83%,100%,200%,100%,100%,50%,50%,67%,100%,100%,100%
ID_00558113,LA,Orleans,28%,37%,43%,29%,15%,31%,50%,31%,22%,26%,16%,37%,50%,35%,42%,42%,39%
ID_00558114,LA,Ouachita,58%,65%,92%,65%,100%,88%,94%,100%,82%,100%,93%,57%,75%,100%,50%,70%,79%
ID_00558125,LA,Plaquemines,100%,100%,100%,50%,,,,100%,,100%,100%,100%,150%,100%,,100%,67%
ID_00558389,LA,Acadia,73%,43%,53%,33%,25%,67%,0%,50%,50%,,100%,0%,0%,50%,100%,0%,100%
ID_00558397,LA,Allen,,,200%,100%,,0%,0%,100%,100%,50%,100%,,,,100%,100%,50%
ID_00558403,LA,Ascension,40%,38%,18%,88%,,44%,80%,57%,50%,43%,33%,100%,70%,71%,100%,0%,50%
ID_00558414,LA,Assumption,,100%,33%,,100%,,,,,,100%,,,0%,0%,100%,100%
ID_00558424,LA,Avoyelles,100%,100%,67%,,100%,67%,0%,100%,50%,,,,,100%,100%,,50%
ID_00558436,LA,Beauregard,100%,,100%,,,100%,,50%,100%,0%,,100%,0%,0%,100%,,100%
ID_00558445,LA,Bienville,100%,,,,,,,100%,,,100%,,0%,100%,,100%,
ID_00558453,LA,Bossier,80%,83%,80%,100%,67%,0%,0%,25%,11%,33%,50%,,75%,75%,50%,83%,75%
ID_00558458,LA,Caddo,30%,54%,59%,27%,47%,53%,60%,59%,74%,54%,66%,53%,34%,47%,67%,56%,66%
ID_00558468,LA,Calcasieu,50%,90%,50%,50%,64%,70%,38%,35%,73%,106%,100%,80%,58%,69%,85%,100%,40%
ID_00558477,LA,Caldwell,,100%,,100%,,,,,100%,,,100%,,100%,,100%,
ID_00558488,LA,Cameron,,,,,,,,,0%,0%,,,,,,,
ID_00558495,LA,Catahoula,,,100%,,100%,,,,,,,,,100%,100%,0%,
ID_00558505,LA,Claiborne,,,0%,,,0%,0%,,,100%,75%,,,100%,,100%,100%
ID_00558515,LA,Concordia,100%,100%,50%,100%,0%,50%,0%,,75%,100%,0%,100%,100%,,50%,100%,
ID_00558521,LA,De Soto,100%,100%,100%,,0%,,100%,,100%,100%,100%,100%,0%,100%,100%,100%,100%
ID_00558530,LA,East Baton Rouge,63%,55%,63%,64%,64%,65%,53%,59%,66%,64%,69%,77%,73%,67%,77%,86%,54%
ID_00558534,LA,East Carroll,,100%,67%,,0%,,,75%,100%,0%,,100%,40%,100%,100%,100%,100%
ID_00558542,LA,East Feliciana,,,100%,100%,100%,,,100%,,50%,,,100%,,100%,,20%
ID_00558551,LA,Evangeline,0%,,,0%,,0%,,0%,,100%,100%,,,100%,0%,,0%
ID_00558557,LA,Franklin,100%,100%,,,,,,,,,,0%,100%,100%,0%,100%,100%
ID_00558567,LA,Grant,,,100%,100%,,,,100%,,,,,0%,100%,100%,100%,100%
ID_00558576,LA,Iberia,,,0%,0%,,0%,0%,0%,50%,,67%,,,100%,,67%,100%
ID_00558582,LA,Iberville,33%,0%,100%,100%,60%,0%,67%,0%,100%,46%,100%,33%,100%,0%,67%,100%,
ID_00558592,LA,Jackson,,,,,,,,,350%,1200%,,,,100%,100%,,
ID_00559449,LA,Pointe Coupee,67%,100%,100%,100%,,100%,100%,,100%,50%,100%,50%,,,100%,,
ID_00559460,LA,Rapides,67%,86%,78%,70%,67%,60%,67%,38%,55%,67%,38%,100%,55%,11%,72%,67%,64%
ID_00559472,LA,Red River,,,,,,,,,,,100%,100%,100%,0%,,100%,
ID_00559481,LA,Richland,0%,50%,0%,,,50%,,,,,100%,,,,100%,100%,
ID_00559489,LA,Sabine,,100%,100%,100%,,,,0%,0%,100%,,100%,,100%,100%,50%,100%
ID_00559500,LA,Tangipahoa,94%,120%,78%,83%,82%,53%,57%,80%,67%,22%,86%,100%,100%,114%,89%,86%,106%
ID_00559509,LA,Tensas,,0%,,,,100%,100%,,,,,,100%,,100%,100%,
ID_00559517,LA,Terrebonne,90%,87%,125%,93%,100%,125%,70%,92%,80%,73%,117%,89%,75%,80%,75%,86%,150%
ID_00559528,LA,Union,,100%,,,,200%,,,,100%,,,100%,50%,100%,,0%
ID_00559538,LA,Vermilion,57%,0%,50%,25%,14%,50%,0%,33%,0%,50%,150%,,,300%,150%,,133%
ID_00559548,LA,Vernon,140%,80%,75%,100%,0%,0%,0%,0%,0%,200%,100%,,100%,100%,,50%,100%
ID_00559557,LA,Washington,100%,0%,100%,100%,67%,125%,100%,88%,100%,67%,67%,100%,0%,86%,100%,,100%
ID_00559567,LA,Webster,50%,100%,100%,100%,0%,100%,100%,50%,,0%,100%,100%,100%,67%,100%,100%,100%
ID_00559570,LA,West Baton Rouge,200%,,50%,100%,100%,100%,,50%,100%,67%,167%,75%,100%,100%,0%,,25%
ID_00559578,LA,West Carroll,100%,,,,,,,200%,33%,,,,100%,100%,,,0%
ID_00559584,LA,West Feliciana,100%,,,,,,100%,100%,100%,50%,100%,0%,100%,,,,
ID_00559594,LA,Winn,,50%,,100%,100%,0%,,0%,100%,0%,,,,,0%,0%,
ID_00581286,ME,Androscoggin,,100%,0%,100%,,50%,100%,,100%,75%,100%,100%,33%,100%,100%,33%,
ID_00581287,ME,Aroostook,100%,67%,100%,100%,100%,,100%,100%,0%,100%,100%,100%,100%,100%,,0%,100%
ID_00581288,ME,Cumberland,67%,100%,100%,100%,200%,40%,75%,83%,67%,67%,100%,100%,67%,100%,100%,67%,100%
ID_00581289,ME,Franklin,50%,,100%,,,100%,,,100%,,,,,0%,,,200%
ID_00581290,ME,Hancock,,,100%,100%,100%,,,,,100%,100%,,100%,,,50%,100%
ID_00581291,ME,Kennebec,50%,83%,50%,100%,133%,67%,100%,100%,33%,50%,100%,100%,0%,100%,,0%,100%
ID_00581292,ME,Knox,,,100%,100%,100%,200%,100%,0%,100%,,,100%,,,,,100%
ID_00581293,ME,Lincoln,,100%,0%,,100%,,,100%,,100%,,100%,100%,,,,
ID_00581294,ME,Oxford,100%,100%,100%,,,,,100%,100%,,100%,100%,100%,,0%,,
ID_00581295,ME,Penobscot,100%,100%,100%,100%,100%,88%,67%,100%,100%,100%,67%,,100%,67%,,100%,80%
ID_00581296,ME,Piscataquis,,100%,,,,100%,,,100%,,100%,100%,,0%,100%,,
ID_00581297,ME,Sagadahoc,,,,,,,,,,,,,,,0%,,
ID_00581298,ME,Somerset,100%,,,100%,100%,200%,200%,50%,100%,150%,50%,100%,0%,50%,100%,,0%
ID_00581299,ME,Waldo,,100%,,100%,100%,,100%,100%,0%,100%,100%,,0%,,0%,,100%
ID_00581300,ME,Washington,,100%,,,,,,,100%,,,,,,,0%,100%
ID_00581301,ME,York,50%,100%,100%,100%,50%,,100%,86%,80%,100%,100%,0%,100%,100%,33%,,
ID_00592947,MD,Talbot,,,,100%,,,50%,100%,50%,,,100%,100%,50%,100%,,100%
ID_00593907,MD,Kent,,,,,,0%,,100%,100%,,,100%,,,,,
ID_00595737,MD,Caroline,,100%,50%,,100%,100%,0%,0%,50%,,,0%,,,67%,,
ID_00596089,MD,Queen Anne's,,,,50%,100%,167%,100%,,100%,,,100%,0%,,,100%,50%
ID_00596115,MD,Cecil,133%,56%,75%,100%,50%,125%,83%,100%,75%,100%,50%,75%,100%,100%,100%,,100%
ID_00596495,MD,Dorchester,100%,100%,67%,,100%,100%,100%,,100%,100%,0%,,100%,100%,50%,50%,
ID_00596907,MD,Somerset,100%,,,50%,100%,100%,100%,100%,100%,,100%,100%,100%,0%,100%,,
ID_00606927,MA,Barnstable,200%,67%,33%,0%,100%,33%,0%,50%,100%,50%,100%,33%,57%,50%,50%,100%,67%
ID_00606928,MA,Berkshire,33%,25%,,0%,,100%,100%,150%,67%,100%,50%,33%,,75%,100%,0%,100%
ID_00606929,MA,Bristol,64%,50%,50%,56%,67%,33%,29%,88%,25%,82%,59%,38%,55%,59%,36%,36%,78%
ID_00606930,MA,Dukes,,,,,,,50%,,100%,,,,,,,,
ID_00606931,MA,Essex,41%,44%,46%,57%,13%,20%,24%,40%,33%,25%,14%,89%,33%,18%,13%,45%,58%
ID_00606932,MA,Franklin,0%,0%,,,0%,,0%,,,80%,,100%,100%,100%,50%,,
ID_00606933,MA,Hampden,47%,23%,19%,14%,27%,54%,52%,60%,50%,73%,45%,41%,45%,37%,21%,17%,56%
ID_00606934,MA,Hampshire,100%,,,,50%,100%,67%,33%,,,,0%,100%,0%,33%,,25%
ID_00606935,MA,Middlesex,50%,40%,79%,67%,57%,77%,86%,56%,75%,50%,77%,67%,53%,73%,45%,69%,75%
ID_00606936,MA,Nantucket,,,,,,,,100%,,,,,0%,,,,
ID_00606937,MA,Norfolk,50%,50%,0%,33%,50%,75%,31%,55%,71%,22%,17%,33%,67%,100%,100%,100%,
ID_00606938,MA,Plymouth,25%,33%,36%,50%,43%,47%,54%,67%,29%,85%,18%,30%,27%,50%,64%,33%,50%
ID_00606939,MA,Suffolk,48%,68%,42%,74%,48%,63%,33%,58%,43%,37%,47%,28%,30%,65%,71%,48%,51%
ID_00606940,MA,Worcester,25%,69%,75%,43%,64%,71%,57%,47%,53%,72%,70%,78%,69%,33%,82%,24%,75%
ID_00659447,MN,Anoka,100%,100%,100%,50%,100%,80%,100%,100%,100%,100%,100%,100%,50%,,0%,40%,67%
ID_00659448,MN,Becker,100%,67%,100%,67%,,,0%,,,0%,,,,,,,
ID_00659449,MN,Beltrami,100%,100%,100%,100%,100%,,,100%,100%,,,100%,,50%,100%,100%,
ID_00659450,MN,Benton,,,100%,,,,,,,,,100%,,,,,0%
ID_00659452,MN,Blue Earth,50%,,100%,100%,,100%,100%,,,100%,,,100%,,,100%,100%
ID_00659453,MN,Brown,,,0%,,,,,,,,,,,,100%,,
ID_00659454,MN,Carlton,100%,,,,100%,100%,,0%,,,100%,,,100%,,,0%
ID_00659455,MN,Carver,,100%,100%,,100%,100%,,,100%,100%,100%,,,,100%,100%,
ID_00659456,MN,Cass,100%,100%,,100%,75%,67%,,,,100%,,75%,,25%,,50%,100%
ID_00659457,MN,Chippewa,,100%,,0%,100%,,,,,100%,,,,,100%,,
ID_00659458,MN,Chisago,,,,,0%,,,,,,100%,,,100%,,,
ID_00659459,MN,Clay,0%,100%,0%,0%,,,0%,,,,,100%,100%,50%,,,100%
ID_00659460,MN,Clearwater,,,,100%,,,,,,,,100%,,,,,
ID_00659461,MN,Cook,,100%,,,,,,,,,,,,,,0%,
ID_00659462,MN,Cottonwood,,,,,,,,,,100%,,,100%,,100%,,
ID_00659463,MN,Crow Wing,,100%,,,100%,100%,,,100%,100%,,100%,100%,,100%,,
ID_00659464,MN,Dakota,67%,100%,100%,50%,0%,100%,80%,100%,100%,100%,100%,100%,50%,67%,83%,100%,100%
ID_00659465,MN,Dodge,,,,,,,,,100%,,,,,,,,
ID_00659466,MN,Douglas,100%,100%,100%,100%,100%,,,,,100%,,100%,50%,,100%,,100%
ID_00659467,MN,Faribault,,,,,100%,,,,,100%,,,,100%,,,100%
ID_00659468,MN,Fillmore,,,,,,,,,,,,,,100%,,,100%
ID_00659469,MN,Freeborn,100%,,,,,,,100%,,,,100%,,,,50%,
ID_00659470,MN,Goodhue,,100%,,,,,,,100%,,,100%,,,,50%,100%
ID_00659471,MN,Grant,,,,,,,,,,,,,,100%,,,
ID_00659472,MN,Hennepin,58%,60%,75%,55%,71%,67%,64%,68%,58%,64%,59%,63%,69%,12%,18%,17%,45%
ID_00659473,MN,Houston,,,,,,,,,,,,,,0%,,,50%
ID_00659474,MN,Hubbard,,,100%,100%,,100%,,,100%,,,,100%,0%,,100%,
ID_00659475,MN,Isanti,,,,,,,,,,,100%,,,,0%,,
ID_00659476,MN,Itasca,100%,,100%,100%,,,,100%,,,100%,,,,100%,100%,
ID_00659477,MN,Jackson,,,,,,,100%,,,,,,,100%,,,
ID_00659478,MN,Kanabec,,,,,,,,100%,,,,,100%,100%,,100%,
ID_00659479,MN,Kandiyohi,,,,100%,,100%,,,100%,100%,,,,100%,100%,67%,100%
