COUNTYNS,ST,COUNTY,YEAR,MRD,CLR,RATE
00025442,AZ,Cochise,1978,2,2,1
00025442,AZ,Cochise,1979,4,3,0.75
00025442,AZ,Cochise,1980,3,0,0
00025442,AZ,Cochise,1980,5,5,1
00025442,AZ,Cochise,1981,1,0,0
00025442,AZ,Cochise,1981,1,1,1
00025442,AZ,Cochise,1983,3,3,1
00025442,AZ,Cochise,1984,7,5,0.714285714
00025442,AZ,Cochise,1984,2,2,1
00025442,AZ,Cochise,1985,6,1,0.166666667
00025442,AZ,Cochise,1985,1,1,1
00025442,AZ,Cochise,1986,1,0,0
00025442,AZ,Cochise,1986,2,3,1.5
00025442,AZ,Cochise,1987,4,1,0.25
00025442,AZ,Cochise,1988,1,0,0
00025442,AZ,Cochise,1988,3,1,0.333333333
00025442,AZ,Cochise,1989,1,0,0
00025442,AZ,Cochise,1990,4,4,1
00025442,AZ,Cochise,1991,2,0,0
00025442,AZ,Cochise,1991,5,4,0.8
00025442,AZ,Cochise,1992,3,3,1
00025442,AZ,Cochise,1993,1,0,0
00025442,AZ,Cochise,1993,1,1,1
00025442,AZ,Cochise,1994,7,3,0.428571429
00025442,AZ,Cochise,1994,2,2,1
00025442,AZ,Cochise,1995,2,2,1
00025442,AZ,Cochise,1995,1,2,2
00025442,AZ,Cochise,1996,1,0,0
00025442,AZ,Cochise,1996,1,1,1
00025442,AZ,Cochise,1997,2,0,0
00025442,AZ,Cochise,1997,4,4,1
00025442,AZ,Cochise,1998,3,2,0.666666667
00025442,AZ,Cochise,1998,1,1,1
00025442,AZ,Cochise,1999,3,1,0.333333333
00025442,AZ,Cochise,2000,1,0,0
00025442,AZ,Cochise,2000,5,4,0.8
00025442,AZ,Cochise,2000,1,1,1
00025442,AZ,Cochise,2001,9,4,0.444444444
00025442,AZ,Cochise,2001,2,2,1
00025442,AZ,Cochise,2002,1,0,0
00025442,AZ,Cochise,2002,2,3,1.5
00025442,AZ,Cochise,2003,2,1,0.5
00025442,AZ,Cochise,2003,5,5,1
00025442,AZ,Cochise,2004,1,0,0
00025442,AZ,Cochise,2004,6,2,0.333333333
00025442,AZ,Cochise,2005,4,3,0.75
00025442,AZ,Cochise,2005,3,3,1
00025442,AZ,Cochise,2006,1,1,1
00025442,AZ,Cochise,2006,0,2,
00025442,AZ,Cochise,2007,2,0,0
00025442,AZ,Cochise,2007,4,2,0.5
00025442,AZ,Cochise,2008,1,0,0
00025442,AZ,Cochise,2008,4,2,0.5
00025442,AZ,Cochise,2008,1,1,1
00025442,AZ,Cochise,2009,4,4,1
00025442,AZ,Cochise,2010,7,2,0.285714286
00025442,AZ,Cochise,2010,1,1,1
00025442,AZ,Cochise,2010,0,1,
00025442,AZ,Cochise,2011,1,0,0
00025442,AZ,Cochise,2011,2,1,0.5
00025442,AZ,Cochise,2011,3,2,0.666666667
00025442,AZ,Cochise,2012,4,0,0
00025442,AZ,Cochise,2013,2,0,0
00025442,AZ,Cochise,2013,1,1,1
00025442,AZ,Cochise,2014,2,2,1
00025442,AZ,Cochise,2014,2,4,2
00025442,AZ,Cochise,2015,2,1,0.5
00025442,AZ,Cochise,2015,1,2,2
00025442,AZ,Cochise,2016,3,2,0.666666667
00025442,AZ,Cochise,2016,2,4,2
00025443,AZ,Coconino,1965,1,0,0
00025443,AZ,Coconino,1966,1,0,0
00025443,AZ,Coconino,1966,3,3,1
00025443,AZ,Coconino,1967,3,2,0.666666667
00025443,AZ,Coconino,1968,4,4,1
00025443,AZ,Coconino,1971,2,1,0.5
00025443,AZ,Coconino,1972,1,1,1
00025443,AZ,Coconino,1973,2,2,1
00025443,AZ,Coconino,1975,4,2,0.5
00025443,AZ,Coconino,1975,2,2,1
00025443,AZ,Coconino,1976,5,4,0.8
00025443,AZ,Coconino,1976,4,5,1.25
00025443,AZ,Coconino,1977,1,0,0
00025443,AZ,Coconino,1977,3,1,0.333333333
00025443,AZ,Coconino,1977,2,2,1
00025443,AZ,Coconino,1978,1,0,0
00025443,AZ,Coconino,1978,1,2,2
00025443,AZ,Coconino,1979,1,0,0
00025443,AZ,Coconino,1979,3,2,0.666666667
00025443,AZ,Coconino,1979,4,4,1
00025443,AZ,Coconino,1980,1,1,1
00025443,AZ,Coconino,1981,3,1,0.333333333
00025443,AZ,Coconino,1981,1,1,1
00025443,AZ,Coconino,1982,4,2,0.5
00025443,AZ,Coconino,1982,4,3,0.75
00025443,AZ,Coconino,1982,1,1,1
00025443,AZ,Coconino,1983,3,1,0.333333333
00025443,AZ,Coconino,1983,2,2,1
00025443,AZ,Coconino,1983,0,1,
00025443,AZ,Coconino,1984,1,0,0
00025443,AZ,Coconino,1985,2,1,0.5
00025443,AZ,Coconino,1985,2,2,1
00025443,AZ,Coconino,1986,7,7,1
00025443,AZ,Coconino,1987,5,5,1
00025443,AZ,Coconino,1988,3,3,1
00025443,AZ,Coconino,1989,2,1,0.5
00025443,AZ,Coconino,1989,2,2,1
00025443,AZ,Coconino,1990,1,0,0
00025443,AZ,Coconino,1990,3,2,0.666666667
00025443,AZ,Coconino,1991,1,1,1
00025443,AZ,Coconino,1992,2,2,1
00025443,AZ,Coconino,1992,3,4,1.333333333
00025443,AZ,Coconino,1993,3,2,0.666666667
00025443,AZ,Coconino,1993,2,2,1
00025443,AZ,Coconino,1994,2,1,0.5
00025443,AZ,Coconino,1994,5,3,0.6
00025443,AZ,Coconino,1995,1,1,1
00025443,AZ,Coconino,1995,0,1,
00025443,AZ,Coconino,1996,1,1,1
00025443,AZ,Coconino,1997,1,0,0
00025443,AZ,Coconino,1997,3,1,0.333333333
00025443,AZ,Coconino,1998,3,2,0.666666667
00025443,AZ,Coconino,1998,4,3,0.75
00025443,AZ,Coconino,1998,1,1,1
00025443,AZ,Coconino,1999,1,1,1
00025443,AZ,Coconino,1999,4,5,1.25
00025443,AZ,Coconino,2000,2,2,1
00025443,AZ,Coconino,2001,1,0,0
00025443,AZ,Coconino,2001,2,1,0.5
00025443,AZ,Coconino,2001,3,3,1
00025443,AZ,Coconino,2002,1,0,0
00025443,AZ,Coconino,2002,1,2,2
00025443,AZ,Coconino,2003,1,1,1
00025443,AZ,Coconino,2003,1,2,2
00025443,AZ,Coconino,2004,4,1,0.25
00025443,AZ,Coconino,2004,3,3,1
00025443,AZ,Coconino,2005,1,2,2
00025443,AZ,Coconino,2006,3,3,1
00025443,AZ,Coconino,2006,0,1,
00025443,AZ,Coconino,2007,3,3,1
00025443,AZ,Coconino,2008,3,4,1.333333333
00025443,AZ,Coconino,2009,2,1,0.5
00025443,AZ,Coconino,2009,4,5,1.25
00025443,AZ,Coconino,2010,5,5,1
00025443,AZ,Coconino,2010,1,2,2
00025443,AZ,Coconino,2011,5,1,0.2
00025443,AZ,Coconino,2012,4,4,1
00025443,AZ,Coconino,2013,2,0,0
00025443,AZ,Coconino,2013,1,1,1
00025443,AZ,Coconino,2014,3,2,0.666666667
00025443,AZ,Coconino,2014,5,5,1
00025443,AZ,Coconino,2015,3,3,1
00025443,AZ,Coconino,2016,3,2,0.666666667
00025444,AZ,Graham,1965,1,1,1
00025444,AZ,Graham,1967,2,2,1
00025444,AZ,Graham,1968,1,1,1
00025444,AZ,Graham,1973,1,1,1
00025444,AZ,Graham,1977,1,1,1
00025444,AZ,Graham,1978,1,1,1
00025444,AZ,Graham,1979,1,1,1
00025444,AZ,Graham,1980,1,1,1
00025444,AZ,Graham,1981,3,3,1
00025444,AZ,Graham,1982,1,1,1
00025444,AZ,Graham,1985,2,2,1
00025444,AZ,Graham,1987,1,1,1
00025444,AZ,Graham,1988,1,0,0
00025444,AZ,Graham,1990,1,1,1
00025444,AZ,Graham,1991,1,1,1
00025444,AZ,Graham,1992,1,1,1
00025444,AZ,Graham,1993,1,1,1
00025444,AZ,Graham,1995,1,0,0
00025444,AZ,Graham,1995,1,1,1
00025444,AZ,Graham,1998,1,1,1
00025444,AZ,Graham,1999,1,1,1
00025444,AZ,Graham,2000,1,1,1
00025444,AZ,Graham,2002,1,1,1
00025444,AZ,Graham,2006,1,0,0
00025444,AZ,Graham,2006,1,1,1
00025444,AZ,Graham,2008,2,0,0
00025444,AZ,Graham,2009,3,0,0
00025444,AZ,Graham,2010,1,1,1
00025444,AZ,Graham,2012,1,0,0
00025444,AZ,Graham,2015,1,0,0
00025444,AZ,Graham,2016,1,1,1
00025445,AZ,Mohave,1965,0,1,
00025445,AZ,Mohave,1966,1,0,0
00025445,AZ,Mohave,1967,1,0,0
00025445,AZ,Mohave,1967,0,1,
00025445,AZ,Mohave,1968,1,0,0
00025445,AZ,Mohave,1968,1,1,1
00025445,AZ,Mohave,1969,2,2,1
00025445,AZ,Mohave,1970,1,1,1
00025445,AZ,Mohave,1971,2,1,0.5
00025445,AZ,Mohave,1971,3,2,0.666666667
00025445,AZ,Mohave,1972,2,2,1
00025445,AZ,Mohave,1973,1,1,1
00025445,AZ,Mohave,1974,1,1,1
00025445,AZ,Mohave,1975,3,0,0
00025445,AZ,Mohave,1975,2,2,1
00025445,AZ,Mohave,1976,3,1,0.333333333
00025445,AZ,Mohave,1977,9,6,0.666666667
00025445,AZ,Mohave,1978,1,0,0
00025445,AZ,Mohave,1978,8,5,0.625
00025445,AZ,Mohave,1979,1,1,1
00025445,AZ,Mohave,1980,2,2,1
00025445,AZ,Mohave,1981,4,1,0.25
00025445,AZ,Mohave,1981,1,1,1
00025445,AZ,Mohave,1982,2,1,0.5
00025445,AZ,Mohave,1983,4,4,1
00025445,AZ,Mohave,1984,3,2,0.666666667
00025445,AZ,Mohave,1984,1,1,1
00025445,AZ,Mohave,1985,6,2,0.333333333
00025445,AZ,Mohave,1985,2,2,1
00025445,AZ,Mohave,1986,4,1,0.25
00025445,AZ,Mohave,1986,4,2,0.5
00025445,AZ,Mohave,1987,3,0,0
00025445,AZ,Mohave,1987,3,3,1
00025445,AZ,Mohave,1987,3,6,2
00025445,AZ,Mohave,1988,3,1,0.333333333
00025445,AZ,Mohave,1988,5,5,1
00025445,AZ,Mohave,1989,5,0,0
00025445,AZ,Mohave,1989,2,1,0.5
00025445,AZ,Mohave,1989,4,5,1.25
00025445,AZ,Mohave,1990,4,2,0.5
00025445,AZ,Mohave,1990,3,3,1
00025445,AZ,Mohave,1991,3,2,0.666666667
00025445,AZ,Mohave,1991,0,1,
00025445,AZ,Mohave,1992,6,5,0.833333333
00025445,AZ,Mohave,1992,8,8,1
00025445,AZ,Mohave,1993,3,3,1
00025445,AZ,Mohave,1993,8,9,1.125
00025445,AZ,Mohave,1993,2,3,1.5
00025445,AZ,Mohave,1994,5,4,0.8
00025445,AZ,Mohave,1994,5,5,1
00025445,AZ,Mohave,1994,3,4,1.333333333
00025445,AZ,Mohave,1995,5,4,0.8
00025445,AZ,Mohave,1996,1,0,0
00025445,AZ,Mohave,1996,5,3,0.6
00025445,AZ,Mohave,1996,3,2,0.666666667
00025445,AZ,Mohave,1996,1,1,1
00025445,AZ,Mohave,1997,5,2,0.4
00025445,AZ,Mohave,1997,3,3,1
00025445,AZ,Mohave,1997,4,5,1.25
00025445,AZ,Mohave,1998,2,1,0.5
00025445,AZ,Mohave,1998,6,4,0.666666667
00025445,AZ,Mohave,1998,2,4,2
00025445,AZ,Mohave,1999,1,0,0
00025445,AZ,Mohave,1999,4,4,1
00025445,AZ,Mohave,1999,3,5,1.666666667
00025445,AZ,Mohave,2000,6,2,0.333333333
00025445,AZ,Mohave,2000,8,3,0.375
00025445,AZ,Mohave,2000,1,1,1
00025445,AZ,Mohave,2001,5,4,0.8
00025445,AZ,Mohave,2001,4,4,1
00025445,AZ,Mohave,2002,1,0,0
